Country Name,Country Code,Population
Aruba,ABW,106277
Africa Eastern and Southern,AFE,739108306
Afghanistan,AFG,42239854
Africa Western and Central,AFW,502789511
Angola,AGO,36684202
Albania,ALB,2745972
Andorra,AND,80088
Arab World,ARB,473272080
United Arab Emirates,ARE,9516871
Argentina,ARG,46654581
Armenia,ARM,2777970
American Samoa,ASM,43914
Antigua and Barbuda,ATG,94298
Australia,AUS,26638544
Austria,AUT,9132383
Azerbaijan,AZE,10112555
Burundi,BDI,13238559
Belgium,BEL,11822592
Benin,BEN,13712828
Burkina Faso,BFA,23251485
Bangladesh,BGD,172954319
Bulgaria,BGR,6430370
Bahrain,BHR,1485509
"Bahamas, The",BHS,412623
Bosnia and Herzegovina,BIH,3210847
Belarus,BLR,9178298
Belize,BLZ,410825
Bermuda,BMU,63489
Bolivia,BOL,12388571
Brazil,BRA,216422446
Barbados,BRB,281995
Brunei Darussalam,BRN,452524
Bhutan,BTN,787424
Botswana,BWA,2675352
Central African Republic,CAF,5742315
Canada,CAN,40097761
Central Europe and the Baltics,CEB,100156608
Switzerland,CHE,8849852
Channel Islands,CHI,175346
Chile,CHL,19629590
China,CHN,1410710000
Cote d'Ivoire,CIV,28873034
Cameroon,CMR,28647293
"Congo, Dem. Rep.",COD,102262808
"Congo, Rep.",COG,6106869
Colombia,COL,52085168
Comoros,COM,852075
Cabo Verde,CPV,598682
Costa Rica,CRI,5212173
Caribbean small states,CSS,3167738
Cuba,CUB,11194449
Curacao,CUW,147862
Cayman Islands,CYM,69310
Cyprus,CYP,1260138
Czechia,CZE,10873689
Germany,DEU,84482267
Djibouti,DJI,1136455
Dominica,DMA,73040
Denmark,DNK,5946952
Dominican Republic,DOM,11332972
Algeria,DZA,45606480
East Asia & Pacific (excluding high income),EAP,2133652241
Early-demographic dividend,EAR,3486290439
East Asia & Pacific,EAS,2380601170
Europe & Central Asia (excluding high income),ECA,247474425
Europe & Central Asia,ECS,923929755
Ecuador,ECU,18190484
"Egypt, Arab Rep.",EGY,112716598
Euro area,EMU,350357398
Eritrea,ERI,3748901
Spain,ESP,48373336
Estonia,EST,1366188
Ethiopia,ETH,126527060
European Union,EUU,449476878
Fragile and conflict affected situations,FCS,1042703808
Finland,FIN,5584264
Fiji,FJI,936375
France,FRA,68170228
Faroe Islands,FRO,53270
"Micronesia, Fed. Sts.",FSM,115224
Gabon,GAB,2436566
United Kingdom,GBR,68350000
Georgia,GEO,3760365
Ghana,GHA,34121985
Gibraltar,GIB,32688
Guinea,GIN,14190612
"Gambia, The",GMB,2773168
Guinea-Bissau,GNB,2150842
Equatorial Guinea,GNQ,1714671
Greece,GRC,10361295
Grenada,GRD,126183
Greenland,GRL,56865
Guatemala,GTM,17602431
Guam,GUM,172952
Guyana,GUY,813834
High income,HIC,1403021503
"Hong Kong SAR, China",HKG,7536100
Honduras,HND,10593798
Heavily indebted poor countries (HIPC),HPC,907995430
Croatia,HRV,3853200
Haiti,HTI,11724763
Hungary,HUN,9589872
IBRD only,IBD,4937047867
IDA & IBRD total,IBT,6819750360
IDA total,IDA,1882702493
IDA blend,IDB,622553200
Indonesia,IDN,277534122
IDA only,IDX,1260149293
Isle of Man,IMN,84710
India,IND,1428627663
Not classified,INX,
Ireland,IRL,5262382
"Iran, Islamic Rep.",IRN,89172767
Iraq,IRQ,45504560
Iceland,ISL,393600
Israel,ISR,9756700
Italy,ITA,58761146
Jamaica,JAM,2825544
Jordan,JOR,11337052
Japan,JPN,124516650
Kazakhstan,KAZ,19900177
Kenya,KEN,55100586
Kyrgyz Republic,KGZ,7100800
Cambodia,KHM,16944826
Kiribati,KIR,133515
St. Kitts and Nevis,KNA,47755
"Korea, Rep.",KOR,51712619
Kuwait,KWT,4310108
Latin America & Caribbean (excluding high income),LAC,600825676
Lao PDR,LAO,7633779
Lebanon,LBN,5353930
Liberia,LBR,5418377
Libya,LBY,6888388
St. Lucia,LCA,180251
Latin America & Caribbean,LCN,664155299
Least developed countries: UN classification,LDC,1150346774
Low income,LIC,722984063
Liechtenstein,LIE,39584
Sri Lanka,LKA,22037000
Lower middle income,LMC,3059564861
Low & middle income,LMY,6593137026
Lesotho,LSO,2330318
Late-demographic dividend,LTE,2326833223
Lithuania,LTU,2871897
Luxembourg,LUX,668606
Latvia,LVA,1881750
"Macao SAR, China",MAC,704149
St. Martin (French part),MAF,32077
Morocco,MAR,37840044
Monaco,MCO,36297
Moldova,MDA,2486891
Madagascar,MDG,30325732
Maldives,MDV,521021
Middle East & North Africa,MEA,500787313
Mexico,MEX,128455567
Marshall Islands,MHL,41996
Middle income,MIC,5870152963
North Macedonia,MKD,1811980
Mali,MLI,23293698
Malta,MLT,553214
Myanmar,MMR,54577997
Middle East & North Africa (excluding high income),MNA,430857111
Montenegro,MNE,616177
Mongolia,MNG,3447157
Northern Mariana Islands,MNP,49796
Mozambique,MOZ,33897354
Mauritania,MRT,4862989
Mauritius,MUS,1261041
Malawi,MWI,20931751
Malaysia,MYS,34308525
North America,NAC,375076145
Namibia,NAM,2604172
New Caledonia,NCL,267940
Niger,NER,27202843
Nigeria,NGA,223804632
Nicaragua,NIC,7046310
Netherlands,NLD,17879488
Norway,NOR,5519594
Nepal,NPL,30896590
Nauru,NRU,12780
New Zealand,NZL,5223100
OECD members,OED,1385005653
Oman,OMN,4644384
Other small states,OSS,14240737
Pakistan,PAK,240485658
Panama,PAN,4468087
Peru,PER,34352719
Philippines,PHL,117337368
Palau,PLW,18058
Papua New Guinea,PNG,10329931
Poland,POL,36685849
Pre-demographic dividend,PRE,1065710613
Puerto Rico,PRI,3205691
"Korea, Dem. People's Rep.",PRK,26160821
Portugal,PRT,10525347
Paraguay,PRY,6861524
West Bank and Gaza,PSE,5165775
Pacific island small states,PSS,2677728
Post-demographic dividend,PST,1119478514
French Polynesia,PYF,308872
Qatar,QAT,2716391
Romania,ROU,19056116
Russian Federation,RUS,143826130
Rwanda,RWA,14094683
South Asia,SAS,1938549529
Saudi Arabia,SAU,36947025
Sudan,SDN,48109006
Senegal,SEN,17763163
Singapore,SGP,5917648
Solomon Islands,SLB,740424
Sierra Leone,SLE,8791092
El Salvador,SLV,6364943
San Marino,SMR,33642
Somalia,SOM,18143378
Serbia,SRB,6618026
Sub-Saharan Africa (excluding high income),SSA,1241778044
South Sudan,SSD,11088796
Sub-Saharan Africa,SSF,1241897817
Small states,SST,20086203
Sao Tome and Principe,STP,231856
Suriname,SUR,623236
Slovak Republic,SVK,5426740
Slovenia,SVN,2120937
Sweden,SWE,10536632
Eswatini,SWZ,1210822
Sint Maarten (Dutch part),SXM,41163
Seychelles,SYC,119773
Syrian Arab Republic,SYR,23227014
Turks and Caicos Islands,TCA,46062
Chad,TCD,18278568
East Asia & Pacific (IDA & IBRD countries),TEA,2107522258
Europe & Central Asia (IDA & IBRD countries),TEC,457326090
Togo,TGO,9053799
Thailand,THA,71801279
Tajikistan,TJK,10143543
