Country,Population,World Population Percentage
Afghanistan,41128771,0.52
Albania,2842321,0.04
Algeria,44903225,0.56
American Samoa,44273,0
Andorra,79824,0
Angola,35588987,0.45
Anguilla,15857,0
Antigua and Barbuda,93763,0
Argentina,45510318,0.57
Armenia,2780469,0.03
Aruba,106445,0
Australia,26177413,0.33
Austria,8939617,0.11
Azerbaijan,10358074,0.13
Bahamas,409984,0.01
Bahrain,1472233,0.02
Bangladesh,171186372,2.15
Barbados,281635,0
Belarus,9534954,0.12
Belgium,11655930,0.15
Belize,405272,0.01
Benin,13352864,0.17
Bermuda,64184,0
Bhutan,782455,0.01
Bolivia,12224110,0.15
Bosnia and Herzegovina,3233526,0.04
Botswana,2630296,0.03
Brazil,215313498,2.7
British Virgin Islands,31305,0
Brunei,449002,0.01
Bulgaria,6781953,0.09
Burkina Faso,22673762,0.28
Burundi,12889576,0.16
Cambodia,16767842,0.21
Cameroon,27914536,0.35
Canada,38454327,0.48
Cape Verde,593149,0.01
Cayman Islands,68706,0
Central African Republic,5579144,0.07
Chad,17723315,0.22
Chile,19603733,0.25
China,1425887337,17.88
Colombia,51874024,0.65
Comoros,836774,0.01
Cook Islands,17011,0
Costa Rica,5180829,0.06
Croatia,4030358,0.05
Cuba,11212191,0.14
Curacao,191163,0
Cyprus,1251488,0.02
Czech Republic,10493986,0.13
Denmark,5882261,0.07
Djibouti,1120849,0.01
Dominica,72737,0
Dominican Republic,11228821,0.14
Democratic Republic of the Congo,99010212,1.24
Ecuador,18001000,0.23
Egypt,110990103,1.39
El Salvador,6336392,0.08
Equatorial Guinea,1674908,0.02
Eritrea,3684032,0.05
Estonia,1326062,0.02
Eswatini,1201670,0.02
Ethiopia,123379924,1.55
Falkland Islands,3780,0
Faroe Islands,53090,0
Fiji,929766,0.01
Finland,5540745,0.07
France,64626628,0.81
French Guiana,304557,0
French Polynesia,306279,0
Gabon,2388992,0.03
Gambia,2705992,0.03
Georgia,3744385,0.05
Germany,83369843,1.05
Ghana,33475870,0.42
Gibraltar,32649,0
